Round,Agent,Bid,Winning_Bid,Market_Threshold,Rounds_Remaining
1,Aggressive_Agent_1,135.63396226415094,False,170,14
1,Aggressive_Agent_2,163.9245283018868,False,170,14
1,Balanced_Agent_1,137.4566037735849,False,170,14
1,Balanced_Agent_2,136.10943396226415,False,170,14
1,Balanced_Agent_3,140.62641509433962,False,170,14
1,Balanced_Agent_4,125.80754716981131,True,170,14
1,Balanced_Agent_5,128.50188679245284,False,170,14
1,Conservative_Agent_1,165.2188679245283,False,170,14
2,Aggressive_Agent_1,169.3132075471698,False,170,13
2,Aggressive_Agent_2,161.17719568567026,False,170,13
2,Balanced_Agent_1,127.91059394580512,True,170,13
2,Balanced_Agent_2,160.57469516242833,False,170,13
2,Balanced_Agent_3,149.54515020431364,False,170,13
2,Balanced_Agent_4,149.5610551185673,False,170,13
2,Balanced_Agent_5,140.7456251708322,False,170,13
2,Conservative_Agent_1,154.4781368608432,False,170,13
3,Aggressive_Agent_1,169.3132075471698,False,170,12
3,Aggressive_Agent_2,121.0750433548794,False,170,12
3,Balanced_Agent_1,105.3303662623563,True,170,12
3,Balanced_Agent_2,148.6893835560245,False,170,12
3,Balanced_Agent_3,139.6815640843379,False,170,12
3,Balanced_Agent_4,128.7556244957032,False,170,12
3,Balanced_Agent_5,132.08405153525706,False,170,12
3,Conservative_Agent_1,145.65941951430307,False,170,12
4,Aggressive_Agent_1,169.3132075471698,False,170,11
4,Aggressive_Agent_2,155.77788817486902,False,170,11
4,Balanced_Agent_1,141.82113543594994,False,170,11
4,Balanced_Agent_2,135.0032214308009,False,170,11
4,Balanced_Agent_3,134.8534297535561,False,170,11
4,Balanced_Agent_4,134.25182853767234,True,170,11
4,Balanced_Agent_5,140.73089747731515,False,170,11
4,Conservative_Agent_1,165.62195348389167,False,170,11
5,Aggressive_Agent_1,169.3132075471698,False,170,10
5,Aggressive_Agent_2,154.14039075432026,False,170,10
5,Balanced_Agent_1,130.9856144501175,True,170,10
5,Balanced_Agent_2,133.33501297841582,False,170,10
5,Balanced_Agent_3,145.02685321120697,False,170,10
5,Balanced_Agent_4,136.16012279153728,False,170,10
5,Balanced_Agent_5,136.20839171165264,False,170,10
5,Conservative_Agent_1,160.72480891633677,False,170,10
6,Aggressive_Agent_1,169.3132075471698,False,170,9
6,Aggressive_Agent_2,152.97119923029257,False,170,9
6,Balanced_Agent_1,83.69777078281817,True,170,9
6,Balanced_Agent_2,122.0782914762247,False,170,9
6,Balanced_Agent_3,139.60528088079593,False,170,9
6,Balanced_Agent_4,126.31313944159452,False,170,9
6,Balanced_Agent_5,131.9568693380311,False,170,9
6,Conservative_Agent_1,129.25969774435197,False,170,9
7,Aggressive_Agent_1,169.3132075471698,False,170,8
